document_id,text,severity,department
38,"Track maintenance equipment failure causing work delays. Replacement machinery requisition submitted.",Medium,Operations
39,"Financial fraud suspected in petty cash management. Internal audit investigation initiated immediately.",Critical,Finance
40,"Emergency evacuation drill conducted successfully across all stations. Response time targets achieved.",Medium,Safety
41,"Platform announcement system malfunction at multiple stations. Communication backup procedures activated.",Medium,Operations
42,"Annual increment processing delayed due to HR system upgrade. Employee communications sent explaining delay.",Medium,HR
43,"Tunnel lighting failure creating safety hazards. Emergency lighting activated while repairs underway.",High,Operations
44,"Passenger traffic analysis shows 25% increase during peak hours. Capacity enhancement planning required.",Medium,Operations
45,"Security camera system upgrade completed with HD surveillance. Enhanced monitoring capabilities now active.",Low,Safety
46,"Train breakdown at Edappally station blocking main line. Alternative arrangements made for passenger transfer.",High,Operations
47,"Employee grievance committee meeting scheduled to address salary concerns. Union representatives invited.",Medium,HR
48,"Water leakage in underground section causing structural concerns. Engineering assessment ordered immediately.",High,Operations
49,"Lost revenue due to fare evasion estimated at 8%. Enhanced checking procedures to be implemented.",Medium,Finance
50,"Emergency response team training completed with external agency. Certification valid for next two years.",Low,Safety
51,"Platform extension work at Companyvadi station behind schedule. Contractor performance review scheduled.",Medium,Operations
52,"New employee handbook distributed covering updated safety protocols. Mandatory reading for all staff.",Low,HR
53,"Electrical short circuit at control room causing system alerts. Backup systems maintaining operational continuity.",High,Operations
54,"Annual safety awards ceremony scheduled to recognize outstanding employee contributions. All departments participating.",Low,Safety
55,"Train collision narrowly avoided due to signal operator alertness. Immediate investigation into system failure.",Critical,Safety
56,"Passenger satisfaction with mobile app reaches 89%. Additional features planned for next release.",Low,Operations
57,"Contract renewal negotiations with cleaning services vendor. Cost optimization discussions ongoing.",Medium,Finance
58,"Security drill reveals gaps in emergency communication protocol. Training update scheduled for all personnel.",Medium,Safety
59,"Platform flooding during monsoon affecting passenger movement. Drainage system enhancement project approved.",High,Operations
60,"Employee performance evaluation cycle completed. Individual development plans created for skill enhancement.",Low,HR
61,"Track crack discovered during routine inspection at kilometer 22.5. Speed restriction imposed pending repairs.",Critical,Operations
62,"Budget allocation for new train procurement approved by board. Delivery expected within 18 months.",Low,Finance
63,"First aid training conducted for customer service staff. Basic medical emergency response capability enhanced.",Medium,HR
64,"Communication system failure affecting train operations coordination. Backup radio systems activated immediately.",High,Operations
65,"Annual environmental compliance audit passed successfully. Green certification maintained for another year.",Low,Operations
66,"Passenger medical emergency requiring ambulance at Kaloor station. CPR administered by trained staff.",High,Safety
67,"Vandalism damage to station property reported overnight. Security footage review and police complaint filed.",Medium,Safety
68,"Quarterly financial review meeting scheduled with government officials. Performance reports prepared.",Medium,Finance
69,"Track inspection vehicle breakdown delaying maintenance schedule. Alternative inspection methods being arranged.",Medium,Operations
70,"Employee union strike notice received regarding working conditions. Management negotiations to begin immediately.",High,HR
71,"Gas leak detected near station premises requiring immediate area evacuation. Fire department responding.",Critical,Safety
72,"Customer service quality improvement initiative launched. Staff training on communication skills scheduled.",Low,Operations
73,"Annual procurement audit reveals minor compliance issues. Vendor management procedures to be updated.",Medium,Finance
74,"Security threat assessment completed with recommendations for enhanced perimeter protection.",Medium,Safety
75,"Peak hour capacity analysis shows overcrowding at three stations. Service frequency increase recommended.",High,Operations
76,"Employee retirement processing completed for five senior staff. Knowledge transfer sessions conducted successfully.",Low,HR
77,"Emergency power generator failure at main control center. Backup systems maintaining critical operations.",High,Operations
78,"Community outreach program receives positive response from local schools. Educational visits program expanding.",Low,Operations
79,"Financial year-end closing procedures completed with all regulatory submissions on time.",Low,Finance
80,"Passenger assistance program for disabled travelers receives government recognition. Accessibility features commended.",Low,Safety
81,"Train door malfunction causing service delays at multiple stations. Technical team implementing emergency repairs.",High,Operations
82,"Annual health and safety training compliance reaches 99%. Outstanding performance by training department.",Low,HR
83,"Platform safety barriers damaged requiring immediate replacement. Temporary safety measures implemented.",Medium,Safety
84,"Customer complaint resolution time improved by 35% through process optimization. Service quality enhanced significantly.",Low,Operations
85,"Emergency response vehicle breakdown during drill exercise. Backup arrangements tested successfully.",Medium,Safety
86,"Financial audit recommendations implementation completed ahead of deadline. Compliance standards exceeded.",Low,Finance
87,"Staff canteen food quality complaints received from multiple employees. Vendor performance review initiated.",Medium,HR
88,"Signal failure at junction causing train routing problems. Manual operations implemented while repairs continue.",High,Operations
89,"Annual maintenance contract negotiations result in 12% cost reduction. Significant budget savings achieved.",Low,Finance
90,"Security incident at parking area involving vehicle break-in. Police investigation ongoing with enhanced patrols.",Medium,Safety
91,"Passenger flow analysis reveals bottlenecks at ticket counters. Additional service points to be installed.",Medium,Operations
92,"Employee motivation survey shows high satisfaction rates. Recognition program effectiveness confirmed.",Low,HR
93,"Track geometry inspection reveals minor deviations requiring corrective maintenance. Work scheduled next week.",Medium,Operations
94,"Revenue protection team identifies fare evasion patterns. Enhanced checking strategies to be implemented.",Medium,Finance
95,"Emergency evacuation route signage update completed at all stations. Improved passenger guidance systems active.",Low,Safety
96,"Train scheduling optimization results in 8% improvement in on-time performance. Passenger satisfaction increased.",Low,Operations
97,"Contract staff salary payment delayed due to administrative processing. Emergency disbursement arranged.",Medium,HR
98,"Platform resurfacing work completed improving passenger safety and comfort. Quality standards exceeded.",Low,Operations
99,"Annual insurance policy renewal completed with comprehensive coverage. Risk management strategy updated.",Low,Finance
100,"Emergency services coordination meeting scheduled with local authorities. Response protocol updates planned.",Medium,Safety
101,"Passenger count during festival period exceeds capacity by 35%. Additional trains requisitioned for peak days.",High,Operations
102,"Staff uniform replacement program completed within budget. Professional appearance standards maintained.",Low,HR
103,"Track maintenance window extension approved for critical safety work. Service impact minimized through planning.",Medium,Operations
104,"Customer advisory system update provides real-time service information. Communication effectiveness improved.",Low,Operations
105,"Fire safety equipment annual inspection completed successfully. All systems certified operational for next year.",Low,Safety
